device,rl_algorithm,map,timestamp,n_agents,configured_total_orders,max_active_orders,n_steps,final_timestep,train_step,eval_episode_reward,delivery_success_rate,orders_completed,total_orders,collision_count,obstacle_collision_count,agent_collision_count,eval_episode_steps,run_script,run_command,seed,eval_seed,hmappo_meta_period,high_level_n_actions,charge_action_id,high_lr_actor,high_lr_critic,high_actor_hidden_dim,high_critic_hidden_dim
dorm,hmappo,UAVEnergyDeliveryLevel,2026-06-24 22:18:52,4,16,8,1,100,1,-62.51138963550329,0.0,0.0,16.0,339.0,277.0,62.0,100.0,,,123,100123,5,9,8,0.0003,0.0003,128,128
lab,mappo,UAVEnergyDelivery,2026-06-25 03:42:49,4,16,8,600000,600083,479,60.34837432445492,0.0,7.8,16.0,100.6,64.2,36.4,207.9,/home/zjl/mappo/scripts/UAVEnergyDelivery/run_all_methods.sh,.venv/bin/python main.py --alg mappo --map UAVEnergyDelivery --uav_n_agents 4 --episode_limit 400 --uav_total_orders 16 --uav_max_active_orders 8 --seed 123 --eval_seed 100123 --evaluate_epoch 20 --cuda True --gpu_id 0 --experiment_device lab --n_steps 600000 ,123,100123,5,0,-1,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-26 14:31:36,4,16,8,600000,600072,504,27.3523645370733,0.0,1.65,16.0,55.3,38.8,16.5,104.3,,,123,100123,5,9,8,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-28 00:05:21,4,16,8,600000,600142,471,22.567992677693837,0.0,4.35,16.0,261.9,249.8,12.1,204.85,,,123,100123,5,1,-1,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-28 05:14:47,4,16,8,600000,600103,272,-8.76660303864628,0.0,1.65,16.0,204.95,186.65,18.3,390.0,,,123,100123,5,1,-1,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-28 22:11:23,4,16,8,600000,600190,266,-11.880079574557021,0.0,1.8,16.0,240.6,209.75,30.85,382.95,,,123,100123,5,1,-1,0.0003,0.0003,128,128
lab,mappo,UAVEnergyDelivery,2026-06-28 23:44:18,4,4,4,1,4,1,-0.6210019737482071,0.0,0.0,4.0,0.0,0.0,0.0,4.0,main_energy_delivery_auction.py,,123,100123,5,0,-1,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-28 23:44:27,4,4,4,1,4,1,0.28419038001447916,0.0,0.0,4.0,0.0,0.0,0.0,4.0,,,123,100123,5,2,-1,0.0003,0.0003,128,128
lab,hmappo,UAVEnergyDeliveryLevel,2026-06-29 02:33:52,4,4,4,1,4,1,-0.03999999910593033,0.0,0.0,4.0,0.0,0.0,0.0,4.0,,,123,100123,5,2,-1,0.0003,0.0003,128,128
lab,mappo,UAVEnergyDelivery,2026-06-29 03:17:07,4,16,8,600000,600112,478,62.95606171208783,0.0,8.35,16.0,139.75,94.25,45.5,207.55,main_energy_delivery_auction.py,,123,100123,5,0,-1,0.0003,0.0003,128,128
